date,latitude,longitude,enginetemp
2015-07-31 07:18:05,43.444103241,-80.54574585,20
2015-07-31 07:18:08,43.444091797,-80.54573059,20
2015-07-31 07:18:11,43.444091797,-80.54573059,20
2015-07-31 07:18:14,43.444084167,-80.54571533,20
2015-07-31 07:18:17,43.444084167,-80.54571533,20
2015-07-31 07:18:20,43.444076538,-80.54570007,20
2015-07-31 07:18:23,43.444076538,-80.54570007,20
2015-07-31 07:18:27,43.444068909,-80.54568481,20
2015-07-31 07:18:30,43.444068909,-80.54568481,20
2015-07-31 07:18:33,43.444061279,-80.54566193,20
2015-07-31 07:18:36,43.444061279,-80.54566193,20
2015-07-31 07:18:39,43.44405365,-80.54564667,20
2015-07-31 07:18:42,43.44405365,-80.54564667,20
2015-07-31 07:18:45,43.444046021,-80.54563141,20
2015-07-31 07:18:48,43.444046021,-80.54563141,20
2015-07-31 07:18:51,43.444034576,-80.54561615,20
2015-07-31 07:18:54,43.444034576,-80.54561615,20
2015-07-31 07:18:57,43.444019318,-80.54559326,20
2015-07-31 07:19:00,43.444019318,-80.54559326,20
2015-07-31 07:19:03,43.444011688,-80.545578,20
2015-07-31 07:19:06,43.444011688,-80.545578,20
2015-07-31 07:19:09,43.444004059,-80.54556274,20
2015-07-31 07:19:13,43.444004059,-80.54556274,20
2015-07-31 07:19:16,43.444000244,-80.54555511,20
2015-07-31 07:19:19,43.444000244,-80.54555511,20
2015-07-31 07:19:22,43.4439888,-80.54553223,20
2015-07-31 07:19:25,43.4439888,-80.54553223,20
2015-07-31 07:19:28,43.443977356,-80.54551697,20
2015-07-31 07:19:31,43.443977356,-80.54551697,20
2015-07-31 07:19:34,43.443969727,-80.54550171,20
2015-07-31 07:19:37,43.443969727,-80.54550171,20
2015-07-31 07:19:40,43.443965912,-80.54549408,20
2015-07-31 07:19:43,43.443965912,-80.54549408,20
2015-07-31 07:19:46,43.443962097,-80.54547882,20
2015-07-31 07:19:49,43.443962097,-80.54547882,20
2015-07-31 07:19:52,43.443958282,-80.54546356,20
2015-07-31 07:19:55,43.443958282,-80.54546356,20
2015-07-31 07:19:58,43.443958282,-80.54545593,20
2015-07-31 07:20:01,43.443958282,-80.54545593,20
2015-07-31 07:20:05,43.443950653,-80.5454483,20
2015-07-31 07:20:08,43.443950653,-80.5454483,20
2015-07-31 07:20:11,43.443950653,-80.5454483,20
2015-07-31 07:20:14,43.443950653,-80.5454483,20
2015-07-31 07:20:17,43.443946838,-80.5454483,20
2015-07-31 07:20:20,43.443946838,-80.5454483,20
2015-07-31 07:20:23,43.443950653,-80.5454483,20
2015-07-31 07:20:26,43.443950653,-80.5454483,20
2015-07-31 07:20:29,43.443950653,-80.5454483,20
2015-07-31 07:20:32,43.443950653,-80.5454483,20
2015-07-31 07:20:35,43.443954468,-80.5454483,20
2015-07-31 07:20:38,43.443954468,-80.5454483,20
2015-07-31 07:20:41,43.443954468,-80.5454483,20
2015-07-31 07:20:44,43.443954468,-80.5454483,20
2015-07-31 07:20:47,43.443950653,-80.5454483,20
2015-07-31 07:20:50,43.443950653,-80.5454483,20
2015-07-31 07:20:54,43.443946838,-80.5454483,20
2015-07-31 07:20:57,43.443946838,-80.5454483,20
2015-07-31 07:21:00,43.443950653,-80.5454483,20
2015-07-31 07:21:03,43.443950653,-80.5454483,20
2015-07-31 07:21:06,43.443954468,-80.5454483,20
2015-07-31 07:21:09,43.443954468,-80.5454483,20
2015-07-31 07:21:12,43.443954468,-80.5454483,20
2015-07-31 07:21:15,43.443954468,-80.5454483,20
2015-07-31 07:21:18,43.443958282,-80.5454483,20
2015-07-31 07:21:21,43.443958282,-80.5454483,20
2015-07-31 07:21:24,43.443958282,-80.54545593,20
2015-07-31 07:21:27,43.443958282,-80.54545593,20
2015-07-31 07:21:30,43.443958282,-80.54545593,20
2015-07-31 07:21:33,43.443958282,-80.54545593,20
2015-07-31 07:21:36,43.443958282,-80.54545593,20
2015-07-31 07:21:40,43.443958282,-80.54545593,20
2015-07-31 07:21:43,43.443958282,-80.54545593,20
2015-07-31 07:21:46,43.443958282,-80.54545593,20
2015-07-31 07:21:49,43.443958282,-80.54545593,20
2015-07-31 07:21:52,43.443958282,-80.54545593,20
2015-07-31 07:21:55,43.443958282,-80.54545593,20
2015-07-31 07:21:58,43.443958282,-80.54545593,20
2015-07-31 07:22:01,43.443958282,-80.54545593,20
2015-07-31 07:22:04,43.443958282,-80.54545593,20
2015-07-31 07:22:07,43.443958282,-80.54545593,20
2015-07-31 07:22:10,43.443958282,-80.54545593,20
2015-07-31 07:22:13,43.443958282,-80.5454483,20
2015-07-31 07:22:16,43.443958282,-80.5454483,20
2015-07-31 07:22:19,43.443958282,-80.54545593,20
2015-07-31 07:22:22,43.443958282,-80.54545593,20
2015-07-31 07:22:25,43.443958282,-80.54545593,20
2015-07-31 07:22:29,43.443958282,-80.54545593,20
2015-07-31 07:22:32,43.443958282,-80.54545593,20
2015-07-31 07:22:35,43.443958282,-80.54545593,20
2015-07-31 07:22:38,43.443958282,-80.54545593,20
2015-07-31 07:22:41,43.443958282,-80.54545593,20
2015-07-31 07:22:44,43.443958282,-80.54545593,20
2015-07-31 07:22:47,43.443958282,-80.54545593,20
2015-07-31 07:22:50,43.443958282,-80.54545593,20
2015-07-31 07:22:53,43.443958282,-80.54545593,20
2015-07-31 07:22:56,43.443954468,-80.5454483,20
2015-07-31 07:22:59,43.443954468,-80.5454483,20
2015-07-31 07:23:02,43.443954468,-80.5454483,20
2015-07-31 07:23:05,43.443954468,-80.5454483,20
2015-07-31 07:23:08,43.443950653,-80.5454483,20
2015-07-31 07:23:11,43.443950653,-80.5454483,20
2015-07-31 07:23:14,43.443950653,-80.5454483,20
2015-07-31 07:23:18,43.443950653,-80.5454483,20
2015-07-31 07:23:21,43.443950653,-80.5454483,20
2015-07-31 07:23:24,43.443950653,-80.5454483,20
2015-07-31 07:23:27,43.443950653,-80.5454483,20
2015-07-31 07:23:30,43.443950653,-80.5454483,20
2015-07-31 07:23:33,43.443946838,-80.5454483,20
2015-07-31 07:23:36,43.443946838,-80.5454483,20
2015-07-31 07:23:39,43.443946838,-80.5454483,20
2015-07-31 07:23:42,43.443946838,-80.5454483,20
2015-07-31 07:23:45,43.443946838,-80.5454483,20
2015-07-31 07:23:48,43.443946838,-80.5454483,20
2015-07-31 07:23:51,43.443946838,-80.5454483,20
2015-07-31 07:23:54,43.443946838,-80.5454483,20
2015-07-31 07:23:57,43.443946838,-80.5454483,20
2015-07-31 07:24:00,43.443946838,-80.5454483,20
2015-07-31 07:24:03,43.443946838,-80.5454483,20
2015-07-31 07:24:07,43.443946838,-80.5454483,20
2015-07-31 07:24:10,43.443946838,-80.5454483,20
2015-07-31 07:24:13,43.443946838,-80.5454483,20
2015-07-31 07:24:16,43.443950653,-80.5454483,20
2015-07-31 07:24:19,43.443950653,-80.5454483,20
2015-07-31 07:24:22,43.443950653,-80.5454483,20
2015-07-31 07:24:26,43.443950653,-80.5454483,20
2015-07-31 07:24:29,43.443950653,-80.5454483,20
2015-07-31 07:24:32,43.443950653,-80.5454483,20
2015-07-31 07:24:35,43.443950653,-80.5454483,20
2015-07-31 07:24:38,43.443950653,-80.5454483,20
2015-07-31 07:24:41,43.443950653,-80.54544067,20
2015-07-31 07:24:44,43.443950653,-80.54544067,20
2015-07-31 07:24:47,43.443943024,-80.54542542,20
2015-07-31 07:24:50,43.443943024,-80.54542542,20
2015-07-31 07:24:53,43.443935394,-80.54540253,20
2015-07-31 07:24:56,43.443935394,-80.54540253,20
2015-07-31 07:24:59,43.44392395,-80.54538727,20
2015-07-31 07:25:02,43.44392395,-80.54538727,20
2015-07-31 07:25:05,43.443916321,-80.54536438,20
2015-07-31 07:25:08,43.443916321,-80.54536438,20
2015-07-31 07:25:11,43.443908691,-80.54534149,20
2015-07-31 07:25:15,43.443908691,-80.54534149,20
2015-07-31 07:25:18,43.443901062,-80.54532623,20
2015-07-31 07:25:21,43.443901062,-80.54532623,20
2015-07-31 07:25:24,43.443893433,-80.54530334,20
2015-07-31 07:25:27,43.443893433,-80.54530334,20
2015-07-31 07:25:30,43.443885803,-80.54528046,20
2015-07-31 07:25:33,43.443885803,-80.54528046,20
2015-07-31 07:25:36,43.443878174,-80.5452652,20
2015-07-31 07:25:39,43.443878174,-80.5452652,20
2015-07-31 07:25:42,43.44386673,-80.54524994,20
2015-07-31 07:25:45,43.44386673,-80.54524994,20
2015-07-31 07:25:48,43.4438591,-80.54522705,20
2015-07-31 07:25:51,43.4438591,-80.54522705,20
2015-07-31 07:25:54,43.443847656,-80.54521179,20
2015-07-31 07:25:57,43.443847656,-80.54521179,20
2015-07-31 07:26:00,43.443840027,-80.5451889,20
2015-07-31 07:26:04,43.443840027,-80.5451889,20
2015-07-31 07:26:07,43.443828583,-80.54517365,20
2015-07-31 07:26:10,43.443828583,-80.54517365,20
2015-07-31 07:26:13,43.443820953,-80.54515076,20
